name ra dec discovery_date 2d_probability dl dl_err mpc mpc_ra mpc_dec gaia gaia_ra gaia_dec ps1dr2 ps1dr2_ra ps1dr2_dec asassn asassn_ra asassn_dec mw_ebv spec_ra spec_dec spec_z spec_z_err ps1strm_ra ps1strm_dec ps1strm_z ps1strm_z_err 2mpz_ra 2mpz_dec 2mpz_z 2mpz_z_err legacy_ra legacy_dec legacy_z legacy_z_err use_redshift dm dm_err g_absmag g_absmag_err g_absmag_date g_var g_var_err gp_absmag gp_absmag_err gp_absmag_date gp_var gp_var_err i_absmag i_absmag_err i_absmag_date i_var i_var_err ip_absmag ip_absmag_err ip_absmag_date ip_var ip_var_err orange-ATLAS_absmag orange-ATLAS_absmag_err orange-ATLAS_absmag_date orange-ATLAS_var orange-ATLAS_var_err r_absmag r_absmag_err r_absmag_date r_var r_var_err rp_absmag rp_absmag_err rp_absmag_date rp_var rp_var_err u_absmag u_absmag_err u_absmag_date u_var u_var_err up_absmag up_absmag_err up_absmag_date up_var up_var_err w_absmag w_absmag_err w_absmag_date w_var w_var_err z_absmag z_absmag_err z_absmag_date z_var z_var_err classification mpc_mask gaia_mask ps1dr2_mask asassn_mask spec_mask ps1strm_mask 2mpz_mask legacy_mask redshift_mask class_mask time_mask prob_mask
2019fdp 245.983779166667 46.903325 "2019-04-29 07:16:00" 0.8602026364984003 84.51780798493945 24.57242839644599 -- nan nan -- nan nan -- nan nan -- nan nan 0.006348947528749704 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 34.634741124320335 0.6313265985837623 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019ewf 187.99235 41.8045388888889 "2019-04-28 05:47:31" 0.9195538343886858 163.34997148639258 34.99706742049374 -- nan nan -- nan nan -- nan nan -- nan nan 0.016949031502008438 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 36.065595315015244 0.46522904959334477 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019eqd 229.894979166667 25.6968555555556 "2019-04-27 09:16:56" 0.8876587141783814 46.87637809494104 13.121889696133115 -- nan nan -- nan nan -- nan nan -- nan nan 0.04856674745678902 229.89992 25.69405 0.089975 8.9975e-05 nan nan nan nan nan nan nan nan 229.8921165763936 25.69852939645964 0.005205247551202774 0.009160470217466354 spec 38.14106037495347 0.10002357367464325 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False True False False False True False False False
2019eqb 245.583145833333 21.4081194444444 "2019-04-27 09:24:21" 0.3456254901796724 66.0882826202702 19.630020731433792 -- nan nan -- nan nan -- nan nan -- nan nan 0.04655778035521507 nan nan nan nan nan nan nan nan nan nan nan nan 245.5832053072116 21.408248613908086 0.160807803273201 0.09872187674045563 legacy 39.50054806598332 1.336838626893484 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False True True False False False
2019ekw 227.146029166667 29.3284972222222 "2019-04-29 06:56:09" 0.5861976534461142 46.44208425896871 10.0139239839822 -- nan nan -- nan nan -- nan nan -- nan nan 0.028906725347042084 nan nan nan nan nan nan nan nan nan nan nan nan 227.15124542281438 29.329892075640036 0.17874085903167725 0.078087717294693 legacy 39.75357427892302 0.9539215306158448 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False True True False False False
2019ejt 246.641179166667 31.3729555555556 "2019-04-29 07:17:17" 0.9037880333933941 139.50453738359792 31.904689641264863 -- nan nan -- nan nan -- nan nan -- nan nan 0.021405164152383804 nan nan nan nan nan nan nan nan nan nan nan nan 246.6411393906723 31.373010554805326 0.07640357315540314 0.01891234703361988 legacy 37.76597696957576 0.5467323480827594 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False True True False False False
2019ejs 248.889033333333 62.1401972222222 "2019-04-29 07:14:41" 0.9452832518394738 48.7421945238232 11.78651489026719 -- nan nan -- nan nan -- nan nan -- nan nan 0.03012336976826191 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 33.43952539282492 0.5250909876306231 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019ejp 212.119133333333 29.2697972222222 "2019-04-29 06:28:18" 0.9418081376345552 46.44208425896871 10.0139239839822 -- nan nan -- nan nan -- nan nan -- nan nan 0.015420088544487953 nan nan nan nan nan nan nan nan nan nan nan nan 212.11922679219367 29.269751292050053 0.20049342513084412 0.45248499512672424 legacy 40.03062623169876 4.901721995305319 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "SN IIn" False False False False False False False False False True False False
2019eiq 175.383454166667 29.9833944444444 "2019-04-29 06:12:56" 0.9493726404277767 121.36256512136183 31.965900947762837 -- nan nan -- nan nan -- nan nan -- nan nan 0.02196294255554676 nan nan nan nan nan nan nan nan nan nan nan nan 175.38337396796211 29.984064468987583 0.10513453185558319 0.02932044118642807 legacy 38.50111004858452 0.613791783179431 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "SN Ia" False False False False False False False True True True False False
2019eig 9.92875 -31.9923611111111 "2019-04-29 15:14:24" 0.8481726204533613 130.42079989966035 38.13439012781876 -- nan nan -- nan nan -- nan nan -- nan nan 0.017267981544137 nan nan nan nan nan nan nan nan nan nan nan nan 9.928126850425452 -31.99094214284733 0.04862360656261444 0.03359804302453995 legacy 36.742372605887816 1.5037769837126331 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019eib 253.164379166667 10.6022944444444 "2019-04-25 09:33:07" 0.5539323062664767 40.454360839892956 6.4135843313276055 -- nan nan -- nan nan -- nan nan -- nan nan 0.07155534625053406 nan nan nan nan nan nan nan nan nan nan nan nan 253.16562667766098 10.60227639276613 0.012074703350663185 0.029815448448061943 legacy 33.659222725399516 5.36283735732934 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "SN Ia" False False False False False False False False False True False False
2019ehz 212.4245 55.4911388888889 "2019-04-29 06:50:23" 0.7600909440162159 83.75337783297952 20.948602035398405 -- nan nan -- nan nan -- nan nan -- nan nan 0.01743229106068611 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 34.61501165732897 0.543133947979091 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan TDE False False False False False False False False False True False False
2019ehy 80.97925 -67.87885 "2019-04-28 22:12:00" 0.6377624630118252 74.6041402296834 20.216328223969935 -- nan nan -- nan nan -- nan nan -- nan nan 1.1588637828826904 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 34.36381464869118 0.5884283438694987 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019ehw 232.873125 64.3675805555555 "2019-04-29 01:01:55" 0.9393404730756494 46.41469225176766 10.88777068384568 -- nan nan -- nan nan -- nan nan -- nan nan 0.015636447817087173 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 33.33327737625171 0.5093751145466519 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019ehl 104.604495833333 30.1219527777778 "2019-04-30 06:44:38" 0.8970520033003746 121.36256512136183 31.965900947762837 -- nan nan -- nan nan -- nan nan -- nan nan 0.07878206670284271 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 35.42042373565836 0.5719478555304746 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019ehi 189.46375 41.9416388888889 "2019-04-29 01:26:24" 0.8844493091562962 120.97288366102656 47.1244014599856 -- nan nan -- nan nan -- nan nan -- nan nan 0.0214252732694149 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan -- 35.41344016579099 0.8458864101632139 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019ego 10.194875 -51.4683111111111 "2019-04-27 03:31:40" 0.9281449083817108 44.74876274125754 8.031254563660163 -- nan nan -- nan nan -- nan nan -- nan nan 0.01277478039264679 nan nan nan nan nan nan nan nan nan nan nan nan 10.197950848559575 -51.469314511717656 0.007881265133619308 0.013586606830358505 legacy 32.72592780687694 3.74476187970837 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019egj 217.0625 30.7183333333333 "2019-04-28 22:23:55" 0.8686807633299265 125.53071038585489 35.60293749137974 -- nan nan -- nan nan -- nan nan -- nan nan 0.018478544428944588 217.05962 30.71595 0.012784 1.2784e-05 nan nan nan nan nan nan nan nan 217.05967404277897 30.715922239364758 0.012368278577923775 0.007659285794943571 spec 33.78433573098174 0.10002357367464325 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019egi 231.139104166667 27.7199194444444 "2019-04-27 09:16:56" 0.6286994932484726 106.10837330094824 47.776647969105404 -- nan nan -- nan nan -- nan nan -- nan nan 0.04811258241534233 231.139 27.7199 0.068593 6.8593e-05 nan nan nan nan nan nan nan nan 231.13897492823708 27.71988427001656 0.05164290592074394 0.01610715501010418 spec 37.52009400045626 0.10002357367464325 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False True False False False True False False False
2019efw 254.169158333333 15.0898083333333 "2019-04-27 10:45:07" 0.7901689672470291 67.74792554940585 33.627885206164436 -- nan nan -- nan nan -- nan nan -- nan nan 0.10661755502223969 nan nan nan nan nan nan nan nan nan nan nan nan 254.16934548141631 15.089948004929555 0.17483222484588623 0.05825044587254524 legacy 39.700502361060856 0.7303673762305152 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False True True False False False
2019efv 254.354970833333 11.9960083333333 "2019-04-27 10:43:40" 0.6740113822179392 56.981330146750395 14.520246073358804 -- nan nan -- nan nan -- nan nan -- nan nan 0.05593256652355194 nan nan nan nan nan nan nan nan nan nan nan nan 254.35005193060388 11.98800171820015 0.007815106771886349 0.03383804112672806 legacy 32.70751361523666 9.402624546955444 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019efu 247.537308333333 13.7871027777778 "2019-04-25 13:59:31" 0.4103201237954478 62.866123636021555 15.178122700355711 -- nan nan -- nan nan -- nan nan -- nan nan 0.05441978573799133 nan nan nan nan nan nan nan nan nan nan nan nan 247.53763938972915 13.786382722103012 0.05241725221276283 0.01938161626458168 legacy 36.91138176594098 0.809119083435779 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False True True False False False
2019eft 247.542008333333 14.2830638888889 "2019-04-25 13:59:31" 0.30894146686611507 56.97101718931708 15.562136272801805 -- nan nan -- nan nan -- nan nan -- nan nan 0.051938124001026154 nan nan nan nan nan nan nan nan nan nan nan nan 247.54600860670584 14.283538559624605 0.04173140600323677 0.04638291522860527 legacy 36.399696921233414 2.4155816449729968 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
2019efr 246.733233333333 10.9368916666667 "2019-04-27 10:35:02" 0.8147454514625514 38.64501098642291 7.300495829557969 -- nan nan -- nan nan -- nan nan -- nan nan 0.06052171438932419 nan nan nan nan nan nan nan nan nan nan nan nan 246.73326450222828 10.936859842899564 0.03482887148857117 0.1741553544998169 legacy 35.996198421125705 10.85850611061951 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 False False False False False False False False False False False False
