name ra dec discovery_date 2d_probability dl dl_err mpc mpc_ra mpc_dec gaia gaia_ra gaia_dec ps1dr2 ps1dr2_ra ps1dr2_dec asassn asassn_ra asassn_dec dm dm_err mw_ebv g_absmag g_absmag_err g_absmag_date g_var g_var_err gp_absmag gp_absmag_err gp_absmag_date gp_var gp_var_err i_absmag i_absmag_err i_absmag_date i_var i_var_err ip_absmag ip_absmag_err ip_absmag_date ip_var ip_var_err orange-ATLAS_absmag orange-ATLAS_absmag_err orange-ATLAS_absmag_date orange-ATLAS_var orange-ATLAS_var_err r_absmag r_absmag_err r_absmag_date r_var r_var_err rp_absmag rp_absmag_err rp_absmag_date rp_var rp_var_err u_absmag u_absmag_err u_absmag_date u_var u_var_err up_absmag up_absmag_err up_absmag_date up_var up_var_err w_absmag w_absmag_err w_absmag_date w_var w_var_err z_absmag z_absmag_err z_absmag_date z_var z_var_err classification spec_ra spec_dec spec_z spec_z_err ps1strm_ra ps1strm_dec ps1strm_z ps1strm_z_err 2mpz_ra 2mpz_dec 2mpz_z 2mpz_z_err legacy_ra legacy_dec legacy_z legacy_z_err mpc_mask gaia_mask ps1dr2_mask asassn_mask time_mask prob_mask class_mask spec_mask ps1strm_mask 2mpz_mask legacy_mask use_redshift redshift_mask
2019jmg 209.8933213648526 36.97328190497626 "2019-05-08 00:00:00" 0.6096456476199759 187.0271576414297 53.86606823890917 -- nan nan -- nan nan -- nan nan -- nan nan 36.35952336844339 0.6254100228328018 0.007179921492934227 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019jmb 263.101666666667 11.4885361111111 "2019-05-07 10:58:04" 0.9202581527780147 40.371309783759976 8.442955466027078 -- nan nan -- nan nan -- nan nan -- nan nan 33.03036419820737 0.45412550372838684 0.12329190224409103 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019jlx 251.991695833333 -1.60423888888889 "2019-05-04 14:00:57" 0.6385802943929164 40.10539668222885 11.346568279808357 -- nan nan -- nan nan -- nan nan -- nan nan 33.01601408150679 0.6143501212795563 0.18279577791690826 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019jdw 196.3715875 43.8664111111111 "2019-05-08 08:22:33" 0.8027914721663588 91.39119585746485 27.41962460626766 -- nan nan -- nan nan -- nan nan -- nan nan 34.80452180062281 0.6514954369990108 0.01853855513036251 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019ixa 250.807395833333 -1.383575 "2019-05-07 12:17:16" 0.7067237087809057 36.046294693713406 10.144100151244125 -- nan nan -- nan nan -- nan nan -- nan nan 32.78430314461453 0.6110927525503496 0.17457212507724762 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019ivx 272.867295833333 42.457375 "2019-05-02 14:09:36" 0.9410638440270989 96.58753544767622 30.247049556757574 -- nan nan -- nan nan -- nan nan -- nan nan 34.924605423197086 0.6800113585121162 0.048062942922115326 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019hae 253.812216666667 -17.8817694444444 "2019-04-25 09:01:26" 0.3224612914229037 137.55035754284293 38.804030497864666 -- nan nan -- nan nan -- nan nan -- nan nan 35.69230861807351 0.6125892161858908 0.3341344892978668 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019gul 270.431991666667 23.3530222222222 "2019-05-08 14:13:55" 0.9040076801208277 140.62977775597005 47.16001846172281 -- nan nan -- nan nan -- nan nan -- nan nan 34.23490616758487 5.969407701402977 0.11464040726423264 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan 270.4310781123234 23.35509616886916 0.015697453171014786 0.043146468698978424 False False False False False False False False False False False legacy False
2019gpy 206.3030375 39.4284638888889 "2019-05-08 08:36:57" 0.6778635982752517 156.42183856297228 61.61394741272149 -- nan nan -- nan nan -- nan nan -- nan nan 35.97148693112838 0.8553342860903326 0.008716722019016743 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
2019gnq 198.486195833333 40.8403083333333 "2019-05-08 08:22:33" 0.775864441406795 168.37798415775814 68.69372036868978 -- nan nan -- nan nan -- nan nan -- nan nan 36.131426528933986 0.8859025786689618 0.013897332362830639 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan False False False False False False False False False False False -- False
